Soil_ID,SOC,x,y
M10b,1.902,37.5696633374531,-0.0407333333338175
M11p,10.161,37.6333266631609,-0.0503850000043181
M19p,1.573,37.7186433308201,-0.105471666689093
M27p,0.909,37.7921633311514,-0.0378666666645477
M41p,1.765,37.795984997932,-0.166081666631223
M50p,1.674,37.7035583354789,-0.261913333319068
M51p,0.8,37.7085716623997,-0.244181666680434
M53p,0.785,37.7390749999177,-0.246950000036409
M58,0.846,37.5765900040638,-0.150659999998822
M63p,5.134,37.660669997004,-0.185801666637354
M1,3.262,37.5664599990489,0.0399766666665041
M2,2.442,37.5685083375597,0.0132299999974533
M3,2.159,37.5926850022284,0.0376900000037005
M4,2.253,37.6216099997922,0.0322050000020375
M5,2,37.6282883361258,0.0336649999983196
M6,1.859,37.6346666710871,0.0315683333364072
M7,1.842,37.6843566666178,-0.00300500000011373
M8,2.389,37.6705750009897,-0.028195000003675
M9,3.996,37.5982716698961,-0.0217516666630533
M10,1.6,37.5981183364603,-0.0218883333311085
M12,2.906,37.6335500023069,-0.110781666698906
M13,1.917,37.7284583325976,0.0365049999969031
M14,1.983,37.757899996197,0.0346766666630536
M15,2.503,37.7940733291085,0.028021666667871
M16,1.072,37.8844216672866,0.0121399999969219
M17,0.999,37.8815733340994,0.0121966666670017
M17b,2.321,37.8529499997912,0.0377133333339116
M18,0.972,37.8113933328766,0.0592666666676775
M19,2.135,37.6886216699575,-0.102060000013253
M20,1.556,37.7195883315496,-0.0934583333284954
M21,2.276,37.7651366624291,-0.0936249999664794
M22,0.92,37.7578616650839,-0.0897283333311001
M23,1.153,37.778244995836,-0.0874899999966981
M23p,1.025,37.7756850038888,-0.0949566666692586
M25,0.866,37.8251683330052,-0.0185933333320363
M26,3.117,37.7874999968485,-0.0460083333304517
M28,0.942,37.7440433302259,-0.0103800000022016
M29,1.54,37.739729997524,-0.00642666666638733
M30,1.499,37.7396799972953,-0.0135466666637139
M31p,1.44,37.7055233372809,0.01544166666538
M32,0.921,37.8107666681344,-0.126814999989459
M33,1.403,37.8335266626506,-0.150143333317801
M34,0.966,37.8568116685514,-0.212221666689263
M35p,2.348,37.8781450036491,-0.323766666660964
M36,1.747,37.8483350038337,-0.313470000037822
M37,1.226,37.8761833345969,-0.275791666634624
M38,0.994,37.8510150017197,-0.265431666630135
M39,0.863,37.8295433350514,-0.22295666666418
M40,0.617,37.8088266664468,-0.198988333323447
M42,1.423,37.6917766700163,-0.144351666683071
M43,1.473,37.7047266663712,-0.143578333301538
M44,1.121,37.7077133311289,-0.147123333348581
M45,1.775,37.7121266642882,-0.126785000015523
M46,1.184,37.7346533303925,-0.122306666630052
M47,1.345,37.6956949955215,-0.0681866666670579
M48,1.963,37.6711850019834,-0.304998333334152
M49,1.919,37.7301000037793,-0.31830333334442
M52,0.718,37.6481366662273,-0.241768333288548
M54,1.812,37.7370499996379,-0.236061666627628
M55,1.331,37.7345633371674,-0.221715000013358
M56,1.875,37.6960900027182,-0.215936666643458
M57,1.218,37.5762449970958,-0.150506666643377
M59,1.521,37.5752966636167,-0.151013333304779
M60,1.004,37.5834883378105,-0.156089999990064
M61,3.218,37.5834883378105,-0.156089999990064
M61b,6.307,37.5922699985335,-0.149805000015097
M61c,6.814,37.5918183345918,-0.149053333304891
M62,4.579,37.6366783313849,-0.196891666643571
M62p,2.137,37.6264350038968,-0.210356666707257
M63,3.044,37.6431150029407,-0.221518333319392
M64,2.323,37.6447699961381,-0.170788333290606
